country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Ethiopia,ETH,2018-01-01,26307832617.0271,0.143674804386758,848.0,28364293.660000004,2729.8,105.88,66.0984708985908,25.9522030024093
Ethiopia,ETH,2019-01-01,32258602964.726,0.139902938707366,848.0,29672647.700000003,2831.8,108.07,65.0528942389611,26.310579298419
Ethiopia,ETH,2020-01-01,38281227166.874,0.136187497314844,848.0,30248749.18,2861.3,116.89,64.3914307364037,39.8851232780285
Ethiopia,ETH,2021-01-01,41811231713.4955,0.133569580810939,848.0,30602960.6,2891.7,114.29,63.4660048870934,41.7726550485869
Ethiopia,ETH,2022-01-01,47720070266.9505,0.1348785390628915,848.0,31616415.5,2813.7,116.51,63.0735603951412,37.8088084540632
Ethiopia,ETH,2023-01-01,58587159452.7232,0.1348785390628915,848.0,31109688.049999997,2852.7,115.4,62.3696792285225,39.79073175132505
Kenya,KEN,1960-01-01,279691874.12325,0.40648965754690003,630.0,1585238.0,1193.85,13.605000000000004,48.24096279511265,5.017714285714288
Kenya,KEN,1961-01-01,270185891.92564297,0.438169852161492,630.0,1376218.0,1244.7,12.619999999999997,48.163375672345204,3.171428571428571
Kenya,KEN,1962-01-01,326185869.52565193,0.421721907416859,630.0,1520717.0,1206.7,13.71,47.32882366516505,3.457142857142859
Kenya,KEN,1963-01-01,356271857.4912567,0.405657367184011,630.0,1711045.0,1249.7,14.200000000000003,48.163375672345204,4.57771428571429
Kenya,KEN,1964-01-01,367863838.8544636,0.390035810859377,630.0,1718408.0,1199.6,14.740000000000002,47.32882366516505,5.504285714285711
Kenya,KEN,1965-01-01,323511870.59525204,0.374809462932308,630.0,1794258.0,1143.0,14.590000000000003,47.32882366516505,6.864000000000001
Kenya,KEN,1966-01-01,404179838.3280649,0.360163230092029,630.0,1617546.0,1139.9,14.899999999999999,47.32882366516505,8.76342857142857
Kenya,KEN,1967-01-01,414847834.06086636,0.34615569865742,630.0,2005760.0,1235.3,15.630000000000003,47.32882366516505,9.514285714285712
Kenya,KEN,1968-01-01,429071828.3712692,0.332736847078803,630.0,2330767.0,1286.7,16.769999999999996,47.32882366516505,9.371428571428572
Kenya,KEN,1969-01-01,450603819.75847244,0.319935793456765,630.0,2324274.0,1303.0,17.620000000000005,47.32882366516505,12.0857142857143
